,id,grammar_point,furigana,meaning,jlpt_level,page
146,68,られる,,potential form; ability or inability to do Ru-verb る -> られる,N4,155
147,69,らしい,,it seems like; I heard; apparently~ Verb (casual form),N4,159
148,70,さ,,-ness ; nominalizer for adjective い-adjective + い,N4,161
149,71,さっき,,some time ago; just now さっき Sentence,N4,163
150,72,させられる,,causative-passive; to be made to do Verb (causative form させる) られる,N4,165
151,73,させる,,causative form; to make/let somebody do Ru-verb る -> させる,N4,167
152,74,させてください,,please let me do Verb,N4,170
153,75,さすが,,as one would expect; as is to be expected; の + Noun,N4,172
154,76,し,,and; and what’s more; emphasis Verb (casual),N4,174
155,77,そんなに,,so much; so; like that Verb,N4,177
156,78,それでも,,but still; and yet; even so Phrase 1 それでも Phrase 2,N4,179
157,79,そうだ,,I heard that; it is said that Verb (casual form),N4,181
158,80,そうだ,,looks like; appears like Verb ます (stem form),N4,183
159,81,そうに・そうな,,seems like; looks like Verb ます (stem form),N4,185
160,82,たばかり,,just finished; something just occurred Verb (た form) ばかり,N4,187
161,83,たところ,,"just finished doing, was just doing Verb (た form) ところ",N4,189
162,84,たどうし & じどうし,,Transitive & Intransitive Verbs see rules below,N4,191
163,85,たがる,,wants to do~ (third person),N4,194
164,86,たら,,"if, after, when Verb (た form)",N4,197
165,87,たらどう,,why don't you Verb (た form) らどう,N4,199
166,88,たらいいですか,,what should I do?; speaker seeking Verb (た form) らいいですか,N4,201
167,89,て で,,"conjunctive particle; so; because of [A], [B]... Verb (て form)",N4,203
168,90,てあげる,,to do for; to do a favor,N4,205
169,91,てほしい,,I want you to; need you to~ Verb (て form),N4,207
170,92,ていく,,to start; to continue; to go on,N4,209
171,93,ていた,,was doing something (past continuous),N4,211
172,94,ていただけませんか,,could you please Verb (て form) いただけませんか,N4,213
173,95,てくれる,,to do a favor; do something for someone,N4,215
174,96,てくる,,to do… and come back; to become; to,N4,218
175,97,てみる,,try doing,N4,220
176,98,てもらう,,to get somebody to do something,N4,222
177,99,ておく,,to do something in advance,N4,224
178,100,てしまう ちゃう,,"to do something by accident, to finish",N4,226
179,101,てすみません,,I’m sorry for Verb (て form) すみません,N4,228
180,102,てやる,,to do for; to do a favor (casual),N4,230
181,103,てよかった,,I’m glad that.. Verb (て form) よかった,N4,232
182,104,ているところ,,in the process of doing Verb (て form) いるところ,N4,234
183,105,ても,,even; even if; even though Verb (て form),N4,236
184,106,と,,"whenever [A] happens, [B] also happens Verb (dictionary / ない form)",N4,239
185,107,といってもいい,,you could say; one might say; I'd say,N4,241
186,108,という,,called; named; that,N4,243
187,109,ということ,,convert phrase into noun Verb (casual),N4,246
188,110,といわれている,,"it is said that... Verb (casual, past)",N4,248
189,111,と聞いた,ときいた,I heard...,N4,250
190,112,と思う,とおもう,to think…; I think…; you think… Verb,N4,252
191,113,とか〜とか,,among other things; such as; like Verb (dictionary form) Verb (dictionary form),N4,254
192,114,ところ,,"just about to; on the verge of doing Verb (casual, non-past) ところ",N4,256
